index,text_vector
43,"[0.6914206828189113, 0.820092290391375, 0.3649523499023994, 0.24371847342341818, 0.2099756615031909, 0.21434329954300385, 0.20259042556890877, 0.17606378229949987, 0.18238259598308973, 0.14787873368443463, 0.1382049583396753, 0.12419556969361988, 0.1369094666053798, 0.1266650545602519, 0.1120516364740164, 0.08821682133178661, 0.08704066181979048, 0.1055801904458964, 0.12172490755726662, 0.09965048778367042]"
44,"[0.6444444346070879, 0.5343520930384611, 0.6119602325536535, 0.40382393887704165, 0.4075127109660054, 0.465525735573542, 0.3561382440731895, 0.372432166549583, 0.43067494422960956, 0.29361170952021753, 0.26897597621538694, 0.2716774227737614, 0.23392091697404416, 0.2680446026426432, 0.23873723452301032, 0.17799779051607795, 0.21498596281262605, 0.19279873045598317, 0.18695735675228645, 0.18649074833191592]"
45,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"[0.7927964672445533, 0.8220628787151872, 0.14570093737448775, 0.13124938015186383, 0.099501441248381, 0.11318609339089696, 0.1264726908057305, 0.07705856064737308, 0.1120054998124977, 0.09506736556479753, 0.07673818649696884, 0.09728613404016222, 0.06650485773781645, 0.035608295901796365, 0.04244559588391047, 0.051427493766050554, 0.04018851710370775, 0.03411153787556816, 0.03670853080893397, 0.05044556527663917]"
47,"[0.8172377827167414, 0.29904641433979384, 0.4134408525434899, 0.28887610231023875, 0.2731460639656289, 0.3423723913327019, 0.1819994365843553, 0.23892801546234832, 0.15457090444139296, 0.10320739332621397, 0.17880453862952853, 0.1490617934266324, 0.10998013253953909, 0.11259376022029688, 0.13564299231127852, 0.07708674644225418, 0.101749647962489, 0.095022961092559, 0.08158397765434282, 0.06725652031721022]"
48,"[0.7715920224145525, 0.5502514686455309, 0.27539791310051215, 0.2498160234109541, 0.259455716579115, 0.13452221012408183, 0.11550057934675899, 0.17079302651488842, 0.12428550410485979, 0.1128330734484243, 0.13213503196746162, 0.09061827508241359, 0.10165965790997175, 0.08586164651926866, 0.08344459408533661, 0.08555478679851404, 0.0893128993690881, 0.08322648392633011, 0.07351820635731204, 0.1284827130763107]"
49,"[0.7498888064849955, 0.4011918251310205, 0.46951507358797395, 0.4100210533528613, 0.2753333948377998, 0.24075180620784217, 0.24426985437816304, 0.24649798574657716, 0.27059247691901855, 0.26087284048661075, 0.19435049104535454, 0.11749827606621009, 0.11897494991886011, 0.12536864132993292, 0.12093999436108925, 0.12804026236460306, 0.10767791752091534, 0.1138879680355622, 0.11672323573282002, 0.12714250026409957]"
50,"[0.7354360604798608, 0.4752326405067606, 0.396174955395193, 0.3851081064740578, 0.250537968611466, 0.2705378546216575, 0.2060572459000526, 0.2631028215831793, 0.17063242351064783, 0.1526501847175568, 0.19040575622045147, 0.18664764182590832, 0.18113745570908796, 0.15610540057178074, 0.1871070883488645, 0.1296522791853722, 0.11630953580934625, 0.10387666485068205, 0.107072414636849, 0.08994749055447666]"
51,"[0.8590631944809475, 0.35050421798684106, 0.2570306553877328, 0.23274605241253138, 0.13463980082623148, 0.2016489163615453, 0.18815228830683467, 0.13126259831498016, 0.15793457035547992, 0.15911768088255718, 0.09184883901986893, 0.12126407861924265, 0.10142925395370683, 0.0783615820097706, 0.05559437406512811, 0.07063852118171267, 0.05631944313900325, 0.0723215061192915, 0.059788765404992845, 0.08149062908572494]"
52,"[0.8284787005963508, 0.8251084963201836, 0.24684963028784238, 0.06065074884233407, 0.19868760233203459, 0.12919112429347268, 0.10230385073027158, 0.11235805268919763, 0.10040644385607844, 0.07732283543491869, 0.0772779854045226, 0.07326276265916835, 0.06062836229019212, 0.06081097955152656, 0.08123876805351213, 0.056261094559272085, 0.07522950630249096, 0.06292707319426499, 0.06144951930439428, 0.05010572655896261]"
53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"[0.7851430204852301, 0.5500518262933516, 0.6873219153095513, 0.3646962833307841, 0.2014623075287132, 0.16027016667933736, 0.17735146573785426, 0.1943596182635902, 0.14105533830337016, 0.16441015841225187, 0.1598845391208944, 0.17599772618896825, 0.18976164760275727, 0.12592876095449848, 0.108866521865116, 0.1470285779654122, 0.13276827415056153, 0.10389701209872111, 0.09790948564593113, 0.13009458585591765]"
55,"[0.6671533584703642, 0.772480968302887, 0.5016264255350025, 0.40702540986236996, 0.29000395729180917, 0.3015419621308072, 0.18457018763747368, 0.15601537063574633, 0.1592144792041503, 0.1739466537072974, 0.16101477095416866, 0.13390042194865376, 0.1698612138220993, 0.1270494790102688, 0.10268313845915032, 0.10193181882713066, 0.11487944539699904, 0.09250266313403166, 0.09645397652762594, 0.11804540615308448]"
56,"[0.727415323251415, 0.48814826649633447, 0.4177892347767595, 0.4190855739292404, 0.3387823179994939, 0.3773023713744944, 0.2551336890580732, 0.48457183688691136, 0.23755226120667747, 0.2841679474075152, 0.30993445688750193, 0.19357090612902386, 0.14942528690764648, 0.15131965953825144, 0.16122457972496035, 0.12526743504478274, 0.13545176313684024, 0.16158092428524737, 0.10629374626833488, 0.14984313879961775]"
57,"[0.8027919154723449, 0.4779817006400357, 0.4391074200128575, 0.35461732510334393, 0.39203929833081996, 0.35902437072535553, 0.35156861415747864, 0.22801138202176505, 0.17988299201946406, 0.16930231290642406, 0.17967534979769773, 0.22558218635202165, 0.17437919916977485, 0, 0, 0]"
58,"[0.890289457064041, 0.21321078319563186, 0.16367950805044926, 0.18750580035754016, 0.14098889036285273, 0.12436667549703236, 0.10621150808191587, 0.16331284566579635, 0.13151708954589897, 0.1312345551258107, 0.07554826041439199, 0.10823401751954558, 0.12886109777885596, 0.0874396521638174, 0.1069508886936002, 0.08745266900867427, 0.090961382049457, 0.07921531695387736, 0.07356299667848945, 0.06113995410844057]"
59,"[0.8757054688169603, 0.6452796906741911, 0.2343994079895844, 0.2627185855184928, 0.26122108806435324, 0.20097078214600186, 0.15763994910033155, 0.18450647892310434, 0.19088357452817692, 0.224428890127527, 0.11425025797117457, 0.13410021115800225, 0.14857755190635763, 0.124129090500841, 0.11691062882668497, 0.07564025521953296, 0.06704526593850506]"
60,"[0.6830138704973325, 0.40274874945813943, 0.3479844132845503, 0.3610414368868974, 0.2549482947564088, 0.25173537666345763, 0.25962826249469556, 0.18094691601398863, 0.26193382560339534, 0.18376751338335176, 0.2055658568269926, 0.2574288528710341, 0.15763508722971448, 0.14630058270471102, 0.16456770414660396, 0.14933931237085452, 0.12173920684783306, 0.12726888185526664, 0.11267033875101334, 0.1060704923860138]"
61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,"[0.7025139788338456, 0.5601425382562225, 0.39785212157942557, 0.34312912738504886, 0.3819488521487021, 0.43697533092717117, 0.34216955914580655, 0.412269069485951, 0.3672013317058723, 0.2391698616370179, 0.23260826903586257, 0.20053538530411363, 0.1611276899498843, 0.21171573015809297, 0.1624371824344381, 0.14035068018588137, 0.13016478841645604, 0.12989880719909253, 0.12836467603435212, 0.13911524847135637]"
63,"[0.8640201327044572, 0.6024001185616374, 0.44323897780244753, 0.287969464636967, 0.35130967083864856, 0.28672888939358626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,"[0.7750140687828149, 0.5246660727227499, 0.3131204661494012, 0.22786582579924228, 0.3640464988033928, 0.20176969633626005, 0.24038213622165316, 0.2936807103460124, 0.12903212512371254, 0.20406581458287293, 0.12753565095740502, 0.12317565745125926, 0.1519500439066157, 0.13509202139511373, 0.17561456886144966, 0.1304041556555764, 0.1170077335149452, 0.13239861833942443, 0.12106950208783353, 0.16549300589583787]"
65,"[0.905990683865757, 0.3344762561178307, 0.2394172658575363, 0.2461940767125196, 0.175160272906281, 0.18035419774455116, 0.22232614930040429, 0.16024081996849787, 0.20358546243971654, 0.1427325381638726, 0.12461308168651009, 0.14963672188758728, 0.12901704733157687, 0.13110695185748808, 0.08002371956674681, 0.08296766869012669, 0.09276731615351783, 0.07425371613693789, 0.06912977912171699, 0.08091415223474996]"
66,"[0.9860474473262624, 0.18397877107331062, 0.09136184220728877, 0.05595483938138727, 0.04387462624359064, 0.052461768926969715, 0.05517394542226043, 0.048374278783407436, 0, 0, 0, 0, 0, 0, 0, 0]"
67,"[0.628611373213354, 0.290196180586532, 0.33768248032194176, 0.33379954589899363, 0.35398889591311544, 0.25440966159445344, 0.19941331442750543, 0.21540610497967294, 0.22716547161196773, 0.21450217762442875, 0.2322363085307243, 0.22377337077814158, 0.14331394184539076, 0.11784936477472299, 0.12865370371883347, 0.12456056240279703, 0.12457025104021265, 0.14361569308729358, 0.1293243222266916, 0.11885810404105121]"
68,"[0.7523934645340717, 0.4207125460936012, 0.5024961879332341, 0.4070308157367636, 0.4329317610923237, 0.3668229757811386, 0.3735850385232321, 0.26836315981138725, 0.278412760330852, 0.27561402481777697, 0.19642892557236494, 0.20769209180624523, 0.200741060993191, 0.16015220982131165, 0.28330647587633695, 0.18855459194914445, 0.17893061029324006, 0.22813840987762735, 0.16480638253163882, 0.15066131824712298]"
69,"[0.7120089974741547, 0.8659985480365433, 0.48409320656012755, 0.3266666389048174, 0.26034403319721167, 0.3457298124186272, 0.22682940031378435, 0.19639417586067176, 0.18664451860276257, 0.1386780993740468, 0.11734408094772092, 0.09460993819653436, 0.08115167475950065, 0.09779562969355195, 0.0749733556675683, 0.08044303462235991, 0.06636187010836803, 0.07538347632620936, 0.06645750779357572, 0.06889648984235014]"
70,"[0.7206524096043131, 0.7275868122089393, 0.5552025770406515, 0.4684990857711539, 0.43476652368470803, 0.4637401407517377, 0.3362168016047963, 0.3216490171907034, 0.22540189393883764, 0.23547374915562855, 0.1929087240732232, 0.18268520365245755, 0.21475332356988608, 0.14069054677257944, 0.13773250959956432, 0.19122168128617256, 0.17449011981375884, 0.17130460129796826, 0.13609623346033756, 0.14999303712316356]"
71,"[0.7185635398802334, 0.6786926659600331, 0.504856082086323, 0.5266683790730855, 0.459614595534922, 0.4627125621309312, 0.45649331282651967, 0.3228526607498677, 0.2947671667028622, 0.28144528287955933, 0.27866467661677957, 0.3134220298093513, 0.2704221834752293, 0.2777848645781487, 0.30798050057317217, 0.2405305603993434, 0.272676289238437, 0.28803677341002004, 0.28559821319682843, 0.2576554925508705]"
72,"[0.7334976834412411, 0.7268160916017474, 0.6041359491475575, 0.5134094130244005, 0.38107863633094835, 0.31046069670421717, 0.26905223954283025, 0.25536028278667977, 0.21224217213238877, 0.2105745679452105, 0.26509504225847097, 0.2627199872555081, 0.21856355152737744, 0.26715063864008554, 0.2432551195218573, 0.25592907335755255, 0.24024415118860165, 0.1930621555035804, 0.22296220204131695, 0.19875012616734367]"
73,"[0.6946324775567243, 0.8353442825354676, 0.47693230398065967, 0.35760890300441117, 0.26933330407834966, 0.244393549516777, 0.30336609066971426, 0.28011867263016876, 0.21534277309577315, 0.27009021853886483, 0.16307692089566705, 0.17520616918923315, 0.12986363470667844, 0.15959908723238264, 0.1593087244108528, 0.11047765336706183, 0.12312852464818544, 0.08883955192238335, 0.07898031544404764, 0.0836614664414858]"
74,"[0.8461436101167413, 0.6103571349937079, 0.3971662319889559, 0.3597912538161878, 0.39947027916631095, 0.2237132644306951, 0.2508902727276186, 0.22353335012343256, 0.21265999289995155, 0.18315527917846808, 0.19563790285300103, 0.15955536088658046, 0.18408062912804535, 0.12488173105366153, 0.11421775778812221, 0.13803598184075122, 0.138454409527844, 0.106359084449825, 0.10901836878876331, 0.12260800719456243]"
75,"[0.7823848077022433, 0.39499954315941704, 0.32796859493270175, 0.26432801888875673, 0.36787680061941985, 0.2717001373037362, 0.2907912604576956, 0.23255610064029714, 0.208444930471095, 0.1766643870688918, 0.21430942974950162, 0.13611982916799814, 0.20265760529283142, 0.10489596419496713, 0.14011990912966088, 0.14677894415504922, 0.15683697735467578, 0.10856141730450707, 0.08988762992946069, 0.1036066999552478]"
76,"[0.8810387850084035, 0.42314455713806587, 0.2550472357873066, 0.1624114694407998, 0.15450331896866043, 0.11316810694877419, 0.10370882527165047, 0.13440414091354086, 0.11626583533326233, 0.08478578827285677, 0.12210149190425168, 0.12489902920581472, 0.07214216083231625, 0.09991185814551377, 0.07439833678119906, 0.06531078439005067, 0.06943632747167276, 0.09557154370646731, 0.06483507432931335, 0.09686771421938131]"
